ADC[mV],Beschleunigung_x[mg],Beschleunigung_y[mg],Beschleunigung_z[mg],Winkelgeschwindigkeit_x[mdeg/s],Winkelgeschwindigkeit_y[mdeg/s],Winkelgeschwindigkeit_z[mdeg/s],Magnetfeld_x[mT],Magnetfeld_y[mT],Magnetfeld_z[mT],Widerstand[A/(Vs)],Zeit[ms]
2359,9,1037,91,1953,854,-2319,8,67,85,6991,79871
2286,11,1037,91,3906,-3540,-732,8,67,85,6991,79876
2221,11,1042,91,3173,5126,3906,9,67,86,6989,79881
2156,11,1027,93,366,7812,5493,9,67,86,6989,79886
2097,9,1031,91,1342,1098,6958,9,67,86,6989,79891
2041,11,1039,91,1342,-9399,-488,9,67,86,6989,79896
1981,9,1033,89,6347,1586,-6103,9,67,86,6989,79901
1925,9,1037,91,122,1953,-244,9,67,86,6989,79906
1870,13,1033,93,2441,-2197,1220,9,67,86,6989,79911
1823,11,1031,91,1220,-1464,5493,9,68,85,6989,79916
1776,9,587,1822,4272,-1098,-8178,9,68,85,6989,79921
1727,-23,1003,187,122,1953,-4760,9,68,85,6989,79926
1680,23,1046,87,-1708,366,-6103,9,68,85,6989,79931
1634,7,1013,85,0,-11840,-4638,9,68,85,6989,79936
1590,13,1042,93,976,1586,-8178,9,68,85,6989,79941
1549,7,1039,89,1342,-854,488,9,68,85,6989,79946
1510,3,1037,89,1098,1953,2075,8,67,85,6991,79951
1472,17,1033,89,-610,-3906,-3295,8,67,85,6991,79956
1435,9,1035,91,3662,2441,4394,8,67,85,6991,79961
1396,17,1033,91,-1586,-1342,-976,8,67,85,6991,79966
1361,11,1039,89,-122,-976,5004,8,67,85,6991,79971
1323,15,1037,89,-976,-488,-5371,8,67,85,6991,79976
1288,9,1031,87,-1098,-4028,-244,8,67,85,6991,79981
1253,15,1033,91,-1586,-122,-366,8,66,86,6989,79986
1215,13,1037,91,2441,3906,11962,8,66,86,6989,79991
1179,5,1037,93,-4272,-2563,-4394,8,66,86,6989,79996
1146,9,1044,91,488,4028,-1342,8,66,86,6989,80001
1113,11,1033,91,2441,732,3417,8,66,86,6989,80006
1080,17,1037,87,2685,-1831,4394,8,66,86,6989,80011
1052,13,1035,91,-2197,-2807,2075,8,66,86,6989,80016
1022,9,1031,91,-5126,5615,1342,8,66,86,6990,80021
996,7,1033,91,-4272,-3906,-122,8,66,86,6990,80026
968,7,1033,91,2197,-4760,8422,8,66,86,6990,80031
943,19,1035,89,488,-2075,-5249,8,66,86,6990,80036
921,11,1031,89,-5249,-122,-5859,8,66,86,6990,80041
898,13,1033,91,-2197,-1220,-6713,8,66,86,6990,80046
875,5,1031,91,-1831,-3540,3662,9,66,85,6991,80051
856,13,1033,91,-5371,5859,-488,9,66,85,6991,80056
836,17,1037,91,3051,-610,-6591,9,66,85,6991,80061
819,13,1037,91,-7812,488,610,9,66,85,6991,80066
801,19,1035,89,-732,2075,8422,9,66,85,6991,80071
783,15,1035,93,2929,-3906,-2685,9,66,85,6991,80076
765,15,1035,91,-6103,-244,-5737,9,66,85,6991,80081
749,15,1037,91,0,4028,7934,9,67,86,6990,80086
734,15,1039,91,4394,1953,-5737,9,67,86,6990,80091
720,15,1037,91,-122,3906,-5981,9,67,86,6990,80096
707,17,1033,87,-732,-976,-7446,9,67,86,6990,80101
693,15,1039,89,2929,-2563,1464,9,67,86,6990,80106
680,13,1033,89,610,-4150,1220,9,67,86,6990,80111
670,11,1037,91,2075,9887,2319,9,67,86,6990,80116
659,13,1035,91,7446,-8544,-3417,9,66,85,6988,80121
648,9,1033,91,4882,-244,-2563,9,66,85,6988,80126
639,15,1037,89,-976,1220,-8178,9,66,85,6988,80131
629,13,1039,91,3295,6225,-5371,9,66,85,6988,80136
621,9,1039,89,-1220,-2685,-3295,9,66,85,6988,80141
613,15,1037,89,2807,1953,2929,9,66,85,6988,80146
607,11,1035,91,-4394,-2929,4638,9,66,85,6988,80151
597,13,1039,87,2685,3784,-488,9,67,85,6986,80156
589,9,1031,91,7568,5126,1953,9,67,85,6986,80161
581,13,1035,93,3784,6713,5737,9,67,85,6986,80166
576,9,1035,91,3295,1464,3295,9,67,85,6986,80171
567,11,1029,91,3051,1098,1098,9,67,85,6986,80176
562,11,1033,93,-4882,-8789,-6713,9,67,85,6986,80181
557,11,1039,91,-2807,1342,-244,9,67,85,6986,80186
551,13,1037,91,4272,4150,9399,9,66,86,6989,80191
543,11,1031,91,-1220,-4028,-3051,9,66,86,6989,80196
540,11,1035,85,2563,-1708,5249,9,66,86,6989,80201
535,17,1031,89,-4272,-5493,5126,9,66,86,6989,80206
532,19,1033,91,-1953,6469,2441,9,66,86,6989,80211
526,3,1033,91,5981,-4638,-976,9,66,86,6989,80216
523,11,1033,91,-1220,-1464,-2685,9,66,86,6989,80221
519,13,1033,89,-122,1098,-3784,9,66,85,6990,80226
515,19,1035,91,1831,-7812,-5493,9,66,85,6990,80231
513,9,1042,89,-5371,-5371,0,9,66,85,6990,80236
509,9,1031,91,732,4516,610,9,66,85,6990,80241
505,15,1039,91,-732,122,-3295,9,66,85,6990,80246
502,13,1037,91,-2197,-3784,4638,9,66,85,6990,80251
500,11,1033,91,-1098,-4150,-7080,9,66,85,6990,80256
498,11,1035,91,-6225,-2075,4394,8,68,85,6990,80261
493,9,1033,91,-3295,2075,4272,8,68,85,6990,80266
491,9,1037,91,1464,3906,9399,8,68,85,6990,80271
488,9,1033,91,2319,5249,2075,8,68,85,6990,80276
487,5,1031,91,3417,-2075,1342,8,68,85,6990,80281
485,19,1035,89,-3295,2807,-8911,8,68,85,6990,80286
483,7,1031,87,6835,-2807,7324,9,66,85,6989,80291
482,7,1037,91,5371,-366,-3662,9,66,85,6989,80296
479,13,1033,89,5249,2685,2197,9,66,85,6989,80301
